round,client_id,encrypt_time,plaintext_size,ciphertext_size,aggregate_time,broadcast_size
1,0,42.51562751084566,10725139,2361428098,321.19899497181177,10725139
1,1,42.078906528651714,10725139,2361414335,321.19899497181177,10725139
1,2,42.064759373664856,10725139,2361404141,321.19899497181177,10725139
1,3,42.133229564875364,10725139,2361397994,321.19899497181177,10725139
2,0,42.36277259513736,10725139,2361462478,320.9771068431437,10725139
2,1,42.10244331881404,10725139,2361401127,320.9771068431437,10725139
2,2,42.09268356487155,10725139,2361428716,320.9771068431437,10725139
2,3,42.07029112800956,10725139,2361408536,320.9771068431437,10725139
3,0,42.339952524751425,10725139,2361428450,320.51781713217497,10725139
3,1,42.11218486726284,10725139,2361427013,320.51781713217497,10725139
3,2,41.97974460572004,10725139,2361404484,320.51781713217497,10725139
3,3,42.03873673453927,10725139,2361421803,320.51781713217497,10725139
