round,client_id,encrypt_time,plaintext_size,ciphertext_size,aggregate_time,broadcast_size
1,0,31.55845809355378,16871333,17179894784,217.0446234755218,16871331
1,1,26.72402898222208,16871331,17179894784,217.0446234755218,16871331
1,2,25.747103741392493,16871333,17179894784,217.0446234755218,16871331
1,3,25.46558828279376,16871331,17179894784,217.0446234755218,16871331
2,0,28.25206397101283,16871333,17179894784,221.78769900090992,16871331
2,1,22.972082814201713,16871333,17179894784,221.78769900090992,16871331
2,2,23.90473890863359,16871331,17179894784,221.78769900090992,16871331
2,3,23.748626299202442,16871333,17179894784,221.78769900090992,16871331
3,0,34.39660253375769,16871333,17179894784,227.54200851917267,16871331
3,1,29.943957187235355,16871333,17179894784,227.54200851917267,16871331
3,2,27.972382513806224,16871333,17179894784,227.54200851917267,16871331
3,3,27.26226314343512,16871331,17179894784,227.54200851917267,16871331
