round,client_id,encrypt_time,plaintext_size,ciphertext_size,aggregate_time,broadcast_size
1,0,270.63172371312976,16871331,32585809061,232.88843735307455,16871331
1,1,269.2484360821545,16871331,32585877905,232.88843735307455,16871331
2,0,269.7706616707146,16871331,32585807595,235.10433608293533,16871331
2,1,267.65274527668953,16871331,32585877326,235.10433608293533,16871331
3,0,271.3047769367695,16871331,32585882358,240.93301843851805,16871331
3,1,269.9332635104656,16871331,32585776995,240.93301843851805,16871331
4,0,269.80080322921276,16871331,32585835517,231.21662902086973,16871333
4,1,267.8939738608897,16871331,32585858169,231.21662902086973,16871333
5,0,270.14261262863874,16871331,32585773779,256.1694096364081,16871333
5,1,266.98404467850924,16871331,32585790741,256.1694096364081,16871333
6,0,271.3019971549511,16871331,32585884104,250.51288272440434,16871331
6,1,269.4075187332928,16871331,32585831140,250.51288272440434,16871331
7,0,271.51034788414836,16871331,32585843126,243.31274913996458,16871331
7,1,269.5776191726327,16871331,32585908231,243.31274913996458,16871331
8,0,270.66583934798837,16871331,32585755145,247.21674133464694,16871333
8,1,268.6771548166871,16871331,32585816772,247.21674133464694,16871333
9,0,271.0120779722929,16871331,32585863728,242.3026391491294,16871331
9,1,269.1542832478881,16871331,32585825960,242.3026391491294,16871331
10,0,271.15988032892346,16871331,32585884934,240.35555663704872,16871331
10,1,268.84685380011797,16871331,32585775866,240.35555663704872,16871331
11,0,270.79748184233904,16871331,32585900010,244.2476738281548,16871331
11,1,269.0105273798108,16871331,32585870291,244.2476738281548,16871331
12,0,271.97967065125704,16871331,32585842292,243.33683259040117,16871331
12,1,269.0496849678457,16871331,32585833199,243.33683259040117,16871331
13,0,271.0073255710304,16871331,32585887298,245.6851243674755,16871331
13,1,269.17037399858236,16871331,32585886457,245.6851243674755,16871331
14,0,268.1509199850261,16871331,32585868423,253.0156493410468,16871331
14,1,265.70961287245154,16871331,32585767259,253.0156493410468,16871331
15,0,268.71576860174537,16871331,32585872183,246.6920688673854,16871331
15,1,265.9210810214281,16871331,32585923556,246.6920688673854,16871331
16,0,269.03979209810495,16871331,32585814559,256.9493860825896,16871331
16,1,266.9779549688101,16871331,32585840369,256.9493860825896,16871331
17,0,269.1648911572993,16871331,32585782911,257.3818988241255,16871331
17,1,266.707680106163,16871331,32585795078,257.3818988241255,16871331
18,0,267.74389700219035,16871331,32585872265,247.3908627703786,16871331
18,1,265.9635977819562,16871331,32585847362,247.3908627703786,16871331
19,0,269.72754226252437,16871331,32585852410,247.5859995484352,16871331
19,1,267.4704486504197,16871331,32585867367,247.5859995484352,16871331
20,0,268.0114614367485,16871331,32585800072,247.51762004941702,16871331
20,1,266.2400135844946,16871331,32585881792,247.51762004941702,16871331
21,0,269.38363141193986,16871331,32585920825,244.73473359644413,16871331
21,1,266.70104172825813,16871331,32585838330,244.73473359644413,16871331
22,0,267.4710059426725,16871331,32585771556,252.5733763873577,16871331
22,1,265.07807981967926,16871331,32585804741,252.5733763873577,16871331
23,0,269.93241879716516,16871331,32585822724,247.4583507105708,16871331
23,1,267.99022379517555,16871331,32585883827,247.4583507105708,16871331
24,0,267.75450917333364,16871331,32585781258,250.2299915701151,16871333
24,1,265.87059854343534,16871331,32585789387,250.2299915701151,16871333
25,0,268.60053772106767,16871331,32585857976,248.48369904607534,16871333
25,1,265.93449426069856,16871331,32585790093,248.48369904607534,16871333
26,0,269.51385368034244,16871331,32585752384,244.67892124131322,16871331
26,1,267.63122855499387,16871331,32585836689,244.67892124131322,16871331
27,0,268.6447683610022,16871331,32585890651,244.2746836282313,16871331
27,1,266.6137287504971,16871331,32585743322,244.2746836282313,16871331
28,0,268.5320930816233,16871331,32585838560,244.90388811007142,16871331
28,1,266.4944750405848,16871331,32585812461,244.90388811007142,16871331
29,0,267.4494755640626,16871331,32585885199,252.7367164492607,16871333
29,1,265.52657241001725,16871331,32585851006,252.7367164492607,16871333
30,0,268.6649907641113,16871331,32585915431,257.1469291187823,16871331
30,1,266.2504857927561,16871331,32585795397,257.1469291187823,16871331
31,0,264.7077497430146,16871331,32585838984,254.2598978318274,16871331
31,1,262.3810138218105,16871331,32585914555,254.2598978318274,16871331
32,0,269.7271634340286,16871331,32585831407,245.5638719573617,16871331
32,1,267.97094754874706,16871331,32585809356,245.5638719573617,16871331
33,0,269.1715855933726,16871331,32585878273,248.09643565118313,16871331
33,1,268.0605630017817,16871331,32585886052,248.09643565118313,16871331
34,0,268.6329478211701,16871331,32585848985,249.4038738384843,16871333
34,1,266.69488402828574,16871331,32585872126,249.4038738384843,16871333
35,0,265.33905224502087,16871331,32585828005,268.56956730782986,16871333
35,1,263.02307464182377,16871331,32585869590,268.56956730782986,16871333
36,0,268.1847658380866,16871331,32585822663,250.28216887637973,16871331
36,1,265.38167910277843,16871331,32585846190,250.28216887637973,16871331
37,0,271.47677567601204,16871331,32585873427,260.1046765446663,16871331
37,1,269.8011085577309,16871331,32585829585,260.1046765446663,16871331
38,0,268.2697522267699,16871331,32585803785,260.7940120585263,16871331
38,1,265.75952818989754,16871331,32585873340,260.7940120585263,16871331
39,0,267.79434413835406,16871331,32585863852,260.3922637924552,16871331
39,1,266.030890095979,16871331,32585853295,260.3922637924552,16871331
40,0,268.46831734851,16871331,32585895249,250.25776911899447,16871331
40,1,266.90908704698086,16871331,32585906056,250.25776911899447,16871331
41,0,267.5348815470934,16871331,32585906237,258.14049196988344,16871331
41,1,265.4361269585788,16871331,32585852887,258.14049196988344,16871331
42,0,269.1713505797088,16871331,32585833048,255.9775777719915,16871331
42,1,267.07919443026185,16871331,32585848173,255.9775777719915,16871331
43,0,267.8805003091693,16871331,32585821568,267.6957386061549,16871331
43,1,265.6118084527552,16871331,32585815646,267.6957386061549,16871331
44,0,267.3450212031603,16871331,32585833201,248.00205240771174,16871331
44,1,265.59017411991954,16871331,32585822805,248.00205240771174,16871331
45,0,266.04038064181805,16871331,32585882188,266.77527705952525,16871331
45,1,264.43424532189965,16871331,32585907734,266.77527705952525,16871331
46,0,266.18482349440455,16871331,32585900970,267.570996068418,16871331
46,1,263.3087250068784,16871331,32585789171,267.570996068418,16871331
47,0,266.61844135820866,16871331,32585835572,265.6603751555085,16871331
47,1,264.04105442762375,16871331,32585853752,265.6603751555085,16871331
